Match.Number,Score,Wickets.Lost,Overs,RPO,Target,Inns,Result,Opposition,Ground,Date,Op.Score,Op.Wickets.Lost,Op.Overs,Op.RPO,Op.Target,Op.Inns,Average.wicket,Avg.NB.bat,Top3.NB,Top3.runs,Bat.Catches,Bat.fail,bat.BF20,Bat.120,Top3.BF,Dism.caught,Mid.fail,clean.bowled,bowl.maxw,bowl.low_econ4,bowl.comp4,bowl.nowkt,bowl.str.exp,bowl.34.wkt,bowl.high_econ
40,152,6,20,7.6,NA,1,1,v South Africa,Colombo (RPS),02/10/12,151,10,19.5,7.61,153,2,25.3333333333,10.1428571429,4.3333333333,27,6,2,2,4,32,1,0,3,3,2,3,1,26,2,1
41,158,5,17.5,8.85,158,2,1,v England,Pune,20/12/12,157,6,20,7.85,NA,1,31.6,9.7142857143,8,56,4,1,2,4,46,3,1,1,3,1,2,4,33,0,2
42,177,8,20,8.85,NA,1,0,v England,Mumbai,22/12/12,181,4,20,9.05,178,2,22.125,10.7142857143,8.6666666667,58,1,2,3,4,52,5,1,1,3,1,5,3,44,0,2
43,133,9,20,6.65,NA,1,0,v Pakistan,Bangalore,25/12/12,134,5,19.4,6.81,134,2,14.7777777778,9,16.6666666667,94,1,3,2,1,83,4,2,3,3,2,3,3,26,1,2
44,192,5,20,9.6,NA,1,1,v Pakistan,Ahmedabad,28/12/12,181,7,20,9.05,193,2,38.4,9.1428571429,10.6666666667,76,5,2,4,5,59,2,2,1,3,0,4,1,46,4,2
45,202,4,19.4,10.27,202,2,1,v Australia,Rajkot,10/10/13,201,7,20,10.05,NA,1,50.5,10.8333333333,6.3333333333,59,2,1,3,4,40,3,0,0,3,1,4,3,35,0,3
46,131,3,18.3,7.08,131,2,1,v Pakistan,Dhaka,21/03/14,130,7,20,6.5,NA,1,43.6666666667,9.2,10.6666666667,90,3,1,4,1,81,1,1,2,2,3,4,2,23,3,1
47,130,3,19.4,6.61,130,2,1,v West Indies,Dhaka,23/03/14,129,7,20,6.45,NA,1,43.3333333333,13,19.3333333333,116,3,2,2,1,99,1,1,1,3,2,3,3,27,3,1
48,141,2,18.3,7.62,139,2,1,v Bangladesh,Dhaka,28/03/14,138,7,20,6.9,NA,1,70.5,19,23.3333333333,114,2,1,2,2,100,1,0,1,3,1,3,2,21,1,0
49,159,7,20,7.95,NA,1,1,v Australia,Dhaka,30/03/14,86,10,16.2,5.26,160,2,22.7142857143,8.5714285714,7,47,7,3,3,2,41,5,2,1,4,0,1,1,11,4,1
50,176,4,19.1,9.18,173,2,1,v South Africa,Dhaka,04/04/14,172,4,20,8.6,NA,1,44,12.1666666667,20,128,2,1,2,3,87,4,1,0,3,1,3,4,34,3,2
51,130,4,20,6.5,NA,1,0,v Sri Lanka,Dhaka,06/04/14,134,4,17.5,7.51,131,2,32.5,13.6,17.6666666667,109,2,2,3,1,92,2,1,1,1,1,2,2,18,2,1
52,177,5,20,8.85,181,2,0,v England,Birmingham,07/09/14,180,7,20,9,NA,1,35.4,10.4285714286,13,107,6,3,3,5,73,1,2,3,3,0,5,1,39,4,0
53,178,5,20,8.9,NA,1,1,v Zimbabwe,Harare,17/07/15,124,7,20,6.2,179,2,35.6,12.4285714286,21.3333333333,106,3,2,2,4,86,4,2,0,3,2,3,3,34,4,1
54,135,9,20,6.75,146,2,0,v Zimbabwe,Harare,19/07/15,145,7,20,7.25,NA,1,15,7,4.3333333333,59,2,3,3,2,39,4,2,1,2,1,4,1,39,3,0
55,199,5,20,9.95,NA,1,0,v South Africa,Dharamsala,02/10/15,200,3,19.4,10.16,200,2,39.8,8.8571428571,17.3333333333,152,0,3,2,4,97,2,2,0,1,0,4,3,44,0,4
56,92,10,17.2,5.3,NA,1,0,v South Africa,Cuttack,05/10/15,96,4,17.1,5.59,93,2,9.2,6,6,34,1,4,2,0,37,3,3,4,3,2,2,4,24,0,0
57,188,3,20,9.4,NA,1,1,v Australia,Adelaide,26/01/16,151,10,19.3,7.74,189,2,62.6666666667,16,18.6666666667,126,2,1,3,4,83,2,0,1,3,1,3,1,30,5,2
58,184,3,20,9.2,NA,1,1,v Australia,Melbourne,29/01/16,157,8,20,7.85,185,2,61.3333333333,15.4,23.6666666667,161,1,1,3,4,112,2,1,0,2,0,4,1,37,3,0
59,200,3,20,10,198,2,1,v Australia,Sydney,31/01/16,197,5,20,9.85,NA,1,66.6666666667,18,22,128,1,0,3,5,83,2,0,1,1,0,4,1,43,2,3
60,101,10,18.5,5.36,NA,1,0,v Sri Lanka,Pune,09/02/16,105,5,18,5.83,102,2,10.1,3,1,13,3,5,1,0,19,6,2,1,2,1,1,3,21,0,0
61,196,6,20,9.8,NA,1,1,v Sri Lanka,Ranchi,12/02/16,127,9,20,6.35,197,2,32.6666666667,11.2857142857,17.6666666667,119,5,2,3,4,82,6,2,0,3,2,2,3,26,2,1
62,84,1,13.5,6.07,83,2,1,v Sri Lanka,Visakhapatnam,14/02/16,82,10,18,4.55,NA,1,84,13.6666666667,13.6666666667,81,0,0,2,0,83,0,0,0,4,2,2,2,17,2,1
63,166,6,20,8.3,NA,1,1,v Bangladesh,Dhaka,24/02/16,121,7,20,6.05,167,2,27.6666666667,9.8571428571,14,92,4,3,1,3,71,4,1,2,3,4,5,1,23,2,0
64,85,5,15.3,5.48,84,2,1,v Pakistan,Dhaka,27/02/16,83,10,17.3,4.74,NA,1,17,4.4285714286,7,49,4,5,2,1,54,2,3,0,3,0,0,1,20,4,0
65,142,5,19.2,7.34,139,2,1,v Sri Lanka,Dhaka,01/03/16,138,9,20,6.9,NA,1,28.4,8.1428571429,10.6666666667,72,4,3,2,2,64,4,2,1,2,1,4,3,27,2,0
66,82,1,10.1,8.06,82,2,1,v U.A.E.,Dhaka,03/03/16,81,9,20,4.05,NA,1,82,4,4,80,0,0,2,2,62,1,0,0,2,3,3,0,23,2,0
67,122,2,13.5,8.81,121,2,1,v Bangladesh,Dhaka,06/03/16,120,5,15,8,NA,1,61,11,13.3333333333,102,1,1,2,3,77,2,0,0,1,0,0,1,33,2,2
68,79,10,18.1,4.34,127,2,0,v New Zealand,Nagpur,15/03/16,126,7,20,6.3,NA,1,7.9,6.1428571429,7,29,2,5,2,0,37,5,3,1,1,2,4,1,32,2,1
69,119,4,15.5,7.51,119,2,1,v Pakistan,Kolkata,19/03/16,118,5,18,6.55,NA,1,29.75,7.6666666667,8.3333333333,71,2,2,2,2,63,2,1,2,1,2,3,1,20,2,1
70,146,7,20,7.3,NA,1,1,v Bangladesh,Bangalore,23/03/16,145,9,20,7.25,147,2,20.8571428571,8.8571428571,11.6666666667,65,4,1,3,2,62,4,1,2,2,2,4,1,32,4,0
71,161,4,19.1,8.4,161,2,1,v Australia,Mohali,27/03/16,160,6,20,8,NA,1,40.25,11.3333333333,15,107,4,0,1,3,80,3,0,1,2,1,3,1,32,1,1
72,192,2,20,9.6,NA,1,0,v West Indies,Mumbai,31/03/16,196,3,19.4,9.96,193,2,96,23.75,28,172,2,0,3,3,113,1,0,0,1,1,4,3,42,0,4
73,168,6,20,8.4,171,2,0,v Zimbabwe,Harare,18/06/16,170,6,20,8.5,NA,1,28,9.4285714286,4.6666666667,50,1,1,2,3,44,3,0,3,2,2,5,1,43,3,2
74,103,0,13.1,7.82,100,2,1,v Zimbabwe,Harare,20/06/16,99,9,20,4.95,NA,1,120,24.5,24.5,99,1,0,2,1,80,0,0,0,4,4,5,1,32,1,0
75,138,6,20,6.9,NA,1,1,v Zimbabwe,Harare,22/06/16,135,6,20,6.75,139,2,23,9.5714285714,8,46,1,3,3,2,52,3,2,2,2,3,5,1,31,1,0
